               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11858,            0.030879,                   0,             0.12696,              0.0625,            0.039687,           0.0074663,            0.093846,            0.020205,                   0,               0.073,               0.003,               0.003
                   1,            0.086633,            0.027463,                   0,             0.16381,             0.17262,            0.075288,            0.017555,            0.079536,            0.017231,                   0,            0.044979,           0.0059792,           0.0059792
                   2,            0.077442,            0.026056,                   0,            0.077069,             0.30952,            0.039338,            0.013134,            0.078407,            0.016669,                   0,            0.016836,           0.0088357,           0.0088357
                   3,            0.071397,            0.023306,                   0,             0.20015,             0.29762,             0.10644,            0.035221,            0.074073,            0.014159,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.066743,            0.021104,                   0,             0.16819,             0.39286,            0.095685,             0.03814,            0.066504,            0.015129,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.059192,            0.020222,                   0,             0.38416,              0.3869,             0.22869,            0.081222,            0.059783,            0.012801,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.057115,            0.019633,                   0,              0.5904,              0.4375,             0.43831,             0.18707,            0.048044,            0.011451,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.051243,            0.017937,                   0,             0.57005,               0.438,             0.44178,             0.18152,            0.048761,            0.011071,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.052344,            0.016284,                   0,             0.78947,              0.4241,             0.53481,             0.19135,            0.050174,            0.011258,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.048327,             0.01712,                   0,             0.69624,              0.5119,              0.5561,             0.23993,             0.04188,            0.010522,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.048117,            0.015936,                   0,             0.79514,             0.49107,             0.54499,             0.25179,            0.042635,            0.010366,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.044096,             0.01562,                   0,             0.75851,             0.48512,             0.54164,             0.29142,            0.039296,            0.010189,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.043453,            0.015877,                   0,             0.64007,              0.5506,             0.54736,             0.26189,            0.041318,           0.0098651,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.045064,            0.017457,                   0,             0.73833,             0.54167,             0.60403,             0.32916,            0.036351,           0.0097608,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.043511,            0.015353,                   0,             0.79295,                 0.5,             0.59891,             0.28904,            0.038124,           0.0097878,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.042173,            0.014635,                   0,             0.78874,             0.52083,              0.5906,             0.29698,            0.038626,           0.0098262,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.04158,            0.015406,                   0,             0.66136,             0.56845,             0.59802,             0.32987,            0.036814,           0.0095482,                   0,             0.00703,             0.00703,             0.00703
                  17,             0.03919,            0.014776,                   0,             0.65459,             0.55837,             0.60776,             0.33015,            0.038095,           0.0095056,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.038453,            0.014825,                   0,             0.75167,             0.52976,             0.62093,             0.34172,            0.036709,           0.0093433,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.039072,            0.014326,                   0,             0.82841,             0.50595,             0.62301,             0.35713,            0.035354,           0.0092781,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.037938,            0.015501,                   0,             0.78895,             0.51786,             0.62395,              0.3318,            0.036732,           0.0093545,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.038142,            0.014471,                   0,             0.74771,              0.5119,              0.5601,              0.3505,            0.034559,           0.0091987,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.035934,            0.014596,                   0,             0.73324,             0.54464,             0.60351,             0.35429,            0.035543,           0.0090108,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.036923,            0.016103,                   0,             0.80755,             0.53701,             0.63845,             0.36348,            0.033693,           0.0092271,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.034917,             0.01427,                   0,             0.72569,             0.55904,             0.63176,              0.3339,             0.03794,           0.0090119,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.036719,            0.015616,                   0,             0.77187,             0.57738,             0.67357,             0.39269,            0.032678,           0.0088117,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.034691,             0.01411,                   0,             0.72489,             0.67443,             0.70344,             0.38579,            0.034156,           0.0088862,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.036071,            0.015256,                   0,             0.81435,              0.5744,              0.6894,             0.38681,            0.033339,           0.0087884,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.033682,            0.013499,                   0,              0.8635,             0.53571,             0.67898,             0.39657,            0.032451,           0.0087939,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.033773,            0.013493,                   0,             0.81701,             0.55952,             0.67281,             0.38827,            0.032321,           0.0089659,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.033777,            0.013665,                   0,             0.78021,              0.5625,             0.66787,             0.41364,             0.03126,           0.0088141,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.030906,            0.013983,                   0,             0.72808,             0.57377,             0.66503,             0.40057,            0.031633,           0.0089697,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.033442,            0.013862,                   0,             0.70977,             0.61607,             0.67114,             0.39719,            0.031783,           0.0088094,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.032275,            0.012748,                   0,             0.85697,             0.53494,             0.66454,             0.41888,            0.030158,           0.0085691,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.033033,            0.013276,                   0,             0.71247,               0.625,             0.69379,             0.41907,            0.030417,           0.0086789,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.030172,            0.012615,                   0,             0.74174,             0.67527,             0.71546,             0.44065,            0.029652,           0.0086959,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.028936,            0.013299,                   0,             0.78626,             0.59121,             0.68984,             0.42598,            0.029931,           0.0084956,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.029945,            0.013093,                   0,             0.88726,             0.53274,             0.67624,             0.41881,             0.02992,           0.0084784,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.030392,            0.013845,                   0,             0.73927,             0.61905,             0.68868,              0.4267,            0.029282,           0.0084092,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.029906,            0.013435,                   0,             0.74564,             0.64561,             0.69977,             0.42974,            0.030101,           0.0083943,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.028916,            0.012209,                   0,             0.77611,             0.58631,             0.67373,             0.42844,            0.029185,           0.0082954,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.029486,            0.012378,                   0,             0.71903,             0.63978,              0.6994,             0.44268,            0.028636,           0.0084742,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.029345,            0.013496,                   0,             0.72401,             0.65179,             0.71648,             0.44488,            0.028365,           0.0084739,                   0,            0.001882,            0.001882,            0.001882
                  43,              0.0291,            0.012982,                   0,             0.72243,               0.625,             0.69218,             0.43629,            0.028746,           0.0084432,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.029833,            0.013985,                   0,             0.75022,             0.64363,             0.71588,             0.44997,             0.02825,           0.0083326,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.028248,            0.011852,                   0,             0.75539,             0.65774,             0.72373,              0.4526,            0.028282,           0.0083429,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.028343,             0.01368,                   0,             0.75666,             0.66071,             0.72318,             0.46267,            0.027803,           0.0082758,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.029727,            0.012733,                   0,             0.75613,             0.63988,             0.70774,             0.45171,            0.028294,           0.0084361,                   0,            0.000892,            0.000892,            0.000892
