epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6106,1.44398,2.58559,1.34393,0.28421,0.32497,0.25939,0.16426,1.24843,1.88125,1.22003,0.000415152,0.000415152,0.000415152
2,62.8515,1.3625,1.99561,1.29985,0.26133,0.32801,0.25054,0.16031,1.2655,1.88209,1.20945,0.000823583,0.000823583,0.000823583
3,90.5642,1.36433,1.84669,1.29864,0.29376,0.32716,0.28732,0.18064,1.26584,1.77355,1.23216,0.00122376,0.00122376,0.00122376
4,117.477,1.32053,1.70647,1.28373,0.36653,0.31396,0.29761,0.19172,1.24539,1.68643,1.23494,0.00121287,0.00121287,0.00121287
5,143.923,1.30323,1.62689,1.27151,0.45714,0.34824,0.34444,0.22202,1.18684,1.47004,1.1743,0.0012005,0.0012005,0.0012005
6,171.479,1.27137,1.55153,1.24505,0.39675,0.4511,0.39431,0.25494,1.12163,1.3078,1.13652,0.00118812,0.00118812,0.00118812
7,199.151,1.24069,1.48491,1.23322,0.38155,0.45536,0.39168,0.2588,1.11093,1.37694,1.14686,0.00117575,0.00117575,0.00117575
8,226.872,1.23154,1.45592,1.22791,0.40612,0.45178,0.39307,0.26629,1.08706,1.29109,1.13196,0.00116337,0.00116337,0.00116337
9,253.849,1.20241,1.39858,1.221,0.39754,0.4563,0.39984,0.27386,1.03899,1.26924,1.09407,0.001151,0.001151,0.001151
10,280.817,1.20707,1.39551,1.21621,0.46906,0.44432,0.44106,0.29616,1.05849,1.25715,1.10651,0.00113863,0.00113863,0.00113863
11,308.725,1.17399,1.34615,1.20134,0.43137,0.49072,0.43901,0.30097,1.05157,1.19233,1.09727,0.00112625,0.00112625,0.00112625
12,335.855,1.15524,1.31316,1.19271,0.49268,0.4631,0.45104,0.30515,1.03515,1.19704,1.10239,0.00111388,0.00111388,0.00111388
13,365.159,1.1254,1.2619,1.17903,0.51081,0.48391,0.46349,0.32363,1.00992,1.10586,1.07736,0.0011015,0.0011015,0.0011015
14,393.819,1.11922,1.23392,1.16004,0.5326,0.45385,0.4657,0.32122,1.0293,1.1447,1.09728,0.00108913,0.00108913,0.00108913
15,422.244,1.12284,1.22181,1.16916,0.48189,0.52456,0.4718,0.32649,1.00889,1.14273,1.08237,0.00107675,0.00107675,0.00107675
16,449.531,1.10869,1.19906,1.15576,0.51498,0.51512,0.49318,0.34034,0.98212,1.18688,1.06156,0.00106437,0.00106437,0.00106437
17,476.754,1.09852,1.18615,1.15606,0.49138,0.51278,0.50444,0.34305,0.97927,1.09838,1.05767,0.001052,0.001052,0.001052
18,503.909,1.10159,1.19098,1.15711,0.57014,0.51493,0.53182,0.37289,0.97345,1.03225,1.06115,0.00103962,0.00103962,0.00103962
19,529.854,1.0755,1.17824,1.14413,0.5762,0.50792,0.53398,0.37765,0.92624,1.02039,1.03652,0.00102725,0.00102725,0.00102725
20,556.03,1.05966,1.15418,1.13978,0.51294,0.53796,0.51761,0.36663,0.95598,1.05826,1.04955,0.00101488,0.00101488,0.00101488
21,582.26,1.07493,1.14948,1.14002,0.55099,0.4983,0.51785,0.36362,0.96105,1.07876,1.04598,0.0010025,0.0010025,0.0010025
22,608.254,1.04015,1.10413,1.12287,0.58865,0.54561,0.57595,0.41033,0.93456,0.96978,1.04191,0.000990125,0.000990125,0.000990125
23,634.309,1.04303,1.11253,1.12934,0.58212,0.54772,0.56238,0.40473,0.93022,1.01936,1.03557,0.00097775,0.00097775,0.00097775
24,660.624,1.04007,1.0985,1.12868,0.57535,0.53398,0.56911,0.39846,0.92774,0.9525,1.03033,0.000965375,0.000965375,0.000965375
25,686.877,1.03705,1.07329,1.11786,0.61005,0.52252,0.56089,0.40781,0.93032,1.00096,1.03028,0.000953,0.000953,0.000953
26,712.762,1.03277,1.08697,1.12486,0.57608,0.52808,0.54308,0.3963,0.93753,0.97868,1.03251,0.000940625,0.000940625,0.000940625
27,739.124,1.03684,1.06081,1.10968,0.60202,0.51931,0.55738,0.40182,0.92291,1.0109,1.03308,0.00092825,0.00092825,0.00092825
28,765.594,1.02514,1.06094,1.1216,0.60905,0.5535,0.58895,0.42076,0.89845,0.94199,1.01878,0.000915875,0.000915875,0.000915875
29,792.396,1.00591,1.02324,1.10784,0.61691,0.54749,0.57802,0.41757,0.92923,0.98892,1.03507,0.0009035,0.0009035,0.0009035
30,819.04,1.01226,1.03472,1.10793,0.61527,0.55345,0.57452,0.42198,0.9159,0.96879,1.02619,0.000891125,0.000891125,0.000891125
31,845.985,0.99747,1.01183,1.09585,0.6281,0.55344,0.57687,0.41646,0.89826,0.94368,1.01671,0.00087875,0.00087875,0.00087875
32,872.22,0.98697,1.0058,1.09552,0.63422,0.55039,0.59521,0.43411,0.90144,0.93063,1.01765,0.000866375,0.000866375,0.000866375
33,898.929,0.9927,0.99533,1.0947,0.62838,0.56949,0.59243,0.43264,0.90435,0.939,1.01885,0.000854,0.000854,0.000854
34,925.747,0.96728,0.97337,1.08348,0.65259,0.54495,0.58849,0.4322,0.92097,0.95167,1.02276,0.000841625,0.000841625,0.000841625
35,952.468,0.98501,0.97838,1.09956,0.6536,0.57585,0.59764,0.44246,0.88421,0.93467,1.00899,0.00082925,0.00082925,0.00082925
36,979.044,0.97324,0.96732,1.08866,0.69406,0.55888,0.60009,0.4408,0.89255,0.94199,1.01133,0.000816875,0.000816875,0.000816875
37,1005.25,0.97998,0.95141,1.08473,0.64423,0.56282,0.59178,0.44105,0.88201,0.94328,1.00767,0.0008045,0.0008045,0.0008045
38,1031.85,0.97239,0.94879,1.08235,0.65414,0.53499,0.58734,0.43984,0.88071,0.91263,0.99979,0.000792125,0.000792125,0.000792125
39,1058.51,0.95726,0.94451,1.07962,0.67896,0.53718,0.5985,0.44417,0.88217,0.92668,1.00649,0.00077975,0.00077975,0.00077975
40,1085.71,0.96544,0.94743,1.08602,0.634,0.57167,0.59584,0.44837,0.87119,0.91839,0.99583,0.000767375,0.000767375,0.000767375
41,1112.27,0.95653,0.9249,1.07865,0.63694,0.57323,0.61753,0.46735,0.8588,0.87963,0.99652,0.000755,0.000755,0.000755
